Record,New/Recap,BanderID,Band Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,Day,Month,Year,OrdDay,Time,Wing,Tail,Fat Score,Mass,Age,How Aged,Eye,Skull,Field Sex,PCRsex,Field Morph,PCRMorph,P4Mass,P4Mass,P4Length,Banded_Location,Images Yes/No,Blood Yes/No,P4 Yes/No,Feather Data,FGenType,Fgen,Tail,Latitude,Longitude,County,State,Comments
11,N,SW,2831-20060,WTSP,W011,R-W/RED,DKB/A,2-Nov-20,2,11,2020,307,900,76,78,2,27.4,HY,X,x,5,U,M,X,WS,0.0101,10.1,64.7,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
12,N,SW,2831-20061,WTSP,W012,R-W/RED,GRN/A,2-Nov-20,2,11,2020,307,930,76,74,1,26.1,HY,X,x,6,U,,X,TS,NA,NA,,EASTERN,Y,Y,N,N,NA,NA,X,36.51812,-87.31848,Montgomery,TN,
13,N,SW,2831-20062,WTSP,W013,R-W/RED,WHT/A,2-Nov-20,2,11,2020,307,930,75,75,0,25.8,HY,X,x,5,U,M,X,TS,0.0099,9.9,62.5,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
14,N,SW,2831-20065,WTSP,W014,none,A,3-Nov-20,3,11,2020,308,830,77,75,0,x,HY,X,x,6,U,M,X,WS,0.0098,9.8,64.2,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
15,N,SW,2831-20066,WTSP,W015,B-W/YEL,RED/A,3-Nov-20,3,11,2020,308,830,69,70,2,24,HY,X,x,5,U,F,X,TS,0.008,8,59.4,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
16,N,SW,2831-20067,WTSP,W016,B-W/YEL,YEL/A,3-Nov-20,3,11,2020,308,910,74,77,0,26.6,HY,X,x,6,U,M,X,WS,0.0103,10.3,63.9,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
17,N,SW,2831-20068,WTSP,W017,R-W/RED,B-R/A,3-Nov-20,3,11,2020,308,920,69,75,0,24.9,HY,X,x,5,U,F,X,TS,0.0091,9.1,61.2,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
18,N,SW,2741-45645,WTSP,W018,B-W/YEL,ORG/A,5-Nov-20,5,11,2020,310,1000,69,73,1,23.1,AHY,X,x,6,U,F,X,TS,0.008,8,58.4,EMERALD,Y,Y,Y,Y,1,B,X,36.53908,-87.36114,Montgomery,TN,
19,N,SW,2831-20074,WTSP,W019,B-W/YEL,DKB/A,6-Nov-20,6,11,2020,311,810,71,71,0,26,HY,X,x,6,U,M,X,TS,0.0094,9.4,62.4,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
20,N,SW,2831-20075,WTSP,W020,B-W/YEL,GRN/A,6-Nov-20,6,11,2020,311,920,77,75,0,25.9,AHY,X,x,6,U,M,X,WS,0.01,10,64.3,EMERALD,Y,Y,Y,Y,1,B,X,36.53908,-87.36114,Montgomery,TN,
21,N,SW,2831-20078,WTSP,W021,B-W/YEL,WHT/A,7-Nov-20,7,11,2020,312,730,72,71,3,24.9,HY,X,x,6,U,F,X,TS,0.0082,8.2,60.8,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
22,N,SW,2831-20079,WTSP,W022,B-W/YEL,B-R/A,7-Nov-20,7,11,2020,312,840,69,65,0,23.6,HY,X,x,5,U,F,X,TS,0.008,8,58.4,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
23,N,SW,2831-20081,WTSP,W023,B-W/RED,RED/A,7-Nov-20,7,11,2020,312,940,75,76,1,26.3,HY,X,x,6,U,M,X,TS,0.0096,9.6,62.9,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
24,N,SW,2831-20082,WTSP,W024,B-W/RED,YEL/A,7-Nov-20,7,11,2020,312,940,75,75,2,25.5,AHY,X,x,6,U,M,X,WS,0.0108,10.8,65.2,EASTERN,Y,Y,Y,Y,1,B,X,36.51812,-87.31848,Montgomery,TN,
25,N,SW,2831-20083,WTSP,W025,B-W/RED,ORG/A,7-Nov-20,7,11,2020,312,940,70,68,0,23.4,HY,X,x,6,U,F,X,WS,0.0079,7.9,59.1,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
26,N,SW,2831-20084,WTSP,W026,B-W/RED,DKB/A,10-Nov-20,10,11,2020,315,710,67,67,0,22.2,HY,X,x,4,F,M,X,WS,0.0075,7.5,58.3,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
27,N,SW,2831-20086,WTSP,W027,B-W/RED,GRN/A,10-Nov-20,10,11,2020,315,800,78,x,0,25.5,AHY,X,x,6,M,M,X,WS,0.0104,10.4,65.4,EASTERN,Y,Y,Y,Y,1,B,X,36.51812,-87.31848,Montgomery,TN,
28,N,SW,2831-20087,WTSP,W028,B-W/RED,WHT/A,10-Nov-20,10,11,2020,315,840,67,73,0,23.2,HY,X,x,4,F,M,X,TS,0.0081,8.1,58.5,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
29,N,SW,2831-20088,WTSP,W029,B-W/RED,B-R/A,10-Nov-20,10,11,2020,315,840,69,71,1,24.1,HY,X,x,4,U,F,X,WS,0.0078,7.8,57.4,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
30,N,SW,2831-20090,WTSP,W030,YEL/R-W,RED/A,13-Nov-20,13,11,2020,318,820,72,72,2,25,HY,X,x,6,U,M,X,WS,0.0097,9.7,62.2,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
31,N,SW,2831-20092,WTSP,W031,YEL/R-W,YEL/A,13-Nov-20,13,11,2020,318,1040,75,73,2,28,HY,X,x,5,U,M,X,WS,0.0103,10.3,63.5,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
32,N,SW,2831-20099,WTSP,W032,YEL/R-W,ORG/A,20-Nov-20,20,11,2020,325,820,75,74,0,24,HY,X,x,6,U,M,X,WS,0.0095,9.5,62.8,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
33,N,SW,2831-20100,WTSP,W033,YEL/R-W,DKB/A,20-Nov-20,20,11,2020,325,820,72,73,0,27,HY,X,x,6,U,M,X,TS,0.0096,9.6,61.3,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
34,N,SW,2831-20102,WTSP,W034,YEL/R-W,GRN/A,20-Nov-20,20,11,2020,325,1050,75,75,0,27.5,HY,X,dull,5,U,M,X,WS,0.0102,10.2,64.6,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
35,N,SW,2831-20103,WTSP,W035,YEL/R-W,WHT/A,20-Nov-20,20,11,2020,325,1200,73,77,0,26,HY,X,dull,5,U,M,X,TS,0.01,10,63,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
36,N,SW,2831-20104,WTSP,W036,YEL/B-W,RED/A,20-Nov-20,20,11,2020,325,1200,69,72,2,27,AHY,X,medium,6,U,F,X,TS,0.0084,8.4,57.8,EMERALD,Y,Y,Y,Y,1,B,X,36.53908,-87.36114,Montgomery,TN,
37,N,SW,2831-20105,WTSP,W037,YEL/B-W,YEL/A,20-Nov-20,20,11,2020,325,1200,74,75,0,28.2,HY,X,dull,6,U,M,X,TS,0.0102,10.2,65.6,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
38,N,SW,2831-20106,WTSP,W038,YEL/B-W,DKB/A,21-Nov-20,21,11,2020,326,700,75,75,0,26.9,HY,X,medium,5,U,M,X,WS,0.0097,9.7,63.5,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
39,N,SW,2831-20107,WTSP,W039,YEL/B-W,ORG/A,21-Nov-20,21,11,2020,326,730,68,71,1,22.7,HY,X,dull,6,U,F,X,TS,0.0081,8.1,59.1,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
40,N,SW,2831-20108,WTSP,W040,YEL/B-W,GRN/A,21-Nov-20,21,11,2020,326,730,75,76,3,26.8,HY,X,medium,5,U,M,X,WS,0.0096,9.6,63.2,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
41,N,SW,2831-20109,WTSP,W041,YEL/B-W,WHT/A,27-Nov-20,27,11,2020,332,1130,72,72,2,27.1,AHY,X,rich,6,U,F,X,WS,0.0093,9.3,62.1,EASTERN,Y,Y,Y,Y,1,B,X,36.51812,-87.31848,Montgomery,TN,
42,N,SW,2831-20110,WTSP,W042,R-W/DKB,DKB/A,27-Nov-20,27,11,2020,332,1130,73,71,0,26,HY,X,dull,4,U,M,X,WS,0.0098,9.8,63.3,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,tail basic but fresh
43,N,SW,2831-20111,WTSP,W043,R-W/ORG,DKB/A,27-Nov-20,27,11,2020,332,1130,73,74,2,26.2,HY,X,dull,6,U,M,X,TS,0.0092,9.2,62.9,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
44,N,SW,2831-20112,WTSP,W044,R-W/WHT,DKB/A,27-Nov-20,27,11,2020,332,1130,73,74,t,25.7,HY,X,dull,4,U,F,X,WS,0.0088,8.8,63.3,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
45,N,SW,2831-20113,WTSP,W045,R-W/GRN,DKB/A,27-Nov-20,27,11,2020,332,1230,74,77,1,28.2,HY,X,dull,4,U,M,X,TS,0.0099,9.9,62.7,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
46,N,SW,2831-20114,WTSP,W046,W-L/RED,DKB/A,27-Nov-20,27,11,2020,332,1320,72,73,2,28,HY,X,medium,6,U,M,X,WS,0.0097,9.7,61.7,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
47,R,SW,2831-20046,WTSP,W006,R-W/YEL,DKB/A,10-Dec-20,10,12,2020,345,1530,,x,3,29.5,HY,X,rich,x,U,M,X,WS,0.0108,10.8,64.3,EASTERN,Y,Y,Y,Y,2,B,X,36.51812,-87.31848,Montgomery,TN,p4 fully grown; resampled
48,R,SW,2831-20078,WTSP,W021,B-W/YEL,WHT/A,10-Dec-20,10,12,2020,345,1500,,x,4,27.9,HY,X,medium,x,U,F,X,TS,0.0094,9.4,58.7,EASTERN,Y,N,Y,Y,2,B,X,36.51812,-87.31848,Montgomery,TN,p4 fully grown; resampled
49,R,SW,2831-20087,WTSP,W028,B-W/RED,WHT/A,10-Dec-20,10,12,2020,345,1500,,x,3,25.7,HY,X,dull,x,U,M,X,TS,0.0086,8.6,57.2,EASTERN,Y,N,Y,Y,2,B,X,36.51812,-87.31848,Montgomery,TN,p4 fully grown; resampled
50,N,SW,2831-20117,WTSP,W047,W-L/RED,RED/A,10-Dec-20,10,12,2020,345,1430,73,75,2,29.2,HY,X,dull,6,U,M,X,WS,0.0095,9.5,63.2,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
51,N,SW,2831-20118,WTSP,W048,W-L/RED,YEL/A,10-Dec-20,10,12,2020,345,1500,74,72,4,30.1,HY,X,medium,6,U,M,X,WS,0.0099,9.9,63.1,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
52,R,SW,2831-20110,WTSP,W042,R-W/DKB,DKB/A,12-Dec-20,10,14,2020,347,1030,,x,x,x,HY,X,x,x,U,M,X,WS,NA,NA,,EASTERN,N,N,N,N,NA,NA,X,36.51812,-87.31848,Montgomery,TN,p4 half-grown; not sampled
53,N,SW,2831-20119,WTSP,W049,W-L/RED,ORG/A,12-Dec-20,10,14,2020,347,1000,75,77,2,30.2,HY,X,dull,5,U,M,X,WS,0.0102,10.2,65,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
54,N,SW,2831-20120,WTSP,W050,W-L/RED,GRN/A,12-Dec-20,10,14,2020,347,1000,73,74,2,26.9,HY,X,dull,5,U,M,X,TS,0.0095,9.5,62.6,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
55,N,SW,2831-20121,WTSP,W051,W-L/RED,WHT/A,12-Dec-20,10,14,2020,347,1030,72,71,1,27.7,HY,X,dull,5,U,M,X,TS,0.0097,9.7,62.2,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
56,N,SW,2831-20122,WTSP,W052,W-L/RED,B-R/A,12-Dec-20,10,14,2020,347,1140,71,71,2,26.5,HY,X,dull,6,U,F,X,WS,0.0091,9.1,61.7,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
57,R,SW,2831-20111,WTSP,W043,R-W/ORG,DKB/A,5-Mar-21,5,3,2021,64,1550,71,73,3,28.3,SY,X,x,x,U,M,X,TS,0.0098,9.8,61.7,EASTERN,Y,N,Y,Y,2,B,X,36.51812,-87.31848,Montgomery,TN,
58,N,SW,2831-20125,WTSP,W053,GRN/W-R,RED/A,5-Mar-21,5,3,2021,64,1420,74,71,3,26.9,SY,X,x,x,U,M,X,TS,0.009,9,62.4,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
59,N,SW,2831-20126,WTSP,W054,GRN/W-R,YEL/A,5-Mar-21,5,3,2021,64,1440,71,75,2,27.8,SY,X,x,x,U,M,X,TS,0.0095,9.5,61.3,EASTERN,Y,Y,X,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,"based on recap: this is Rp5, not Rp4"
60,N,SW,2831-20127,WTSP,W055,GRN/W-R,ORG/A,5-Mar-21,5,3,2021,64,1500,66,70,5,25.4,SY,X,x,x,U,F,X,WS,0.0082,8.2,58.8,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
61,N,SW,2831-20128,WTSP,W056,GRN/W-R,DKB/A,5-Mar-21,5,3,2021,64,1520,76,75,3,28.6,SY,X,x,x,U,M,X,WS,0.0102,10.2,63.8,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
62,N,SW,2831-20130,WTSP,W057,GRN/W-R,GRN/A,5-Mar-21,5,3,2021,64,1540,71,72,3,28.3,SY,X,x,x,U,M,X,TS,0.0093,9.3,64.2,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
63,N,SW,2831-20131,WTSP,W058,GRN/W-R,WHT/A,5-Mar-21,5,3,2021,64,1550,75,75,4,28.6,SY,X,x,x,U,M,X,WS,0.0106,10.6,63.9,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
64,N,SW,2831-20132,WTSP,W059,ORG/W-L,RED/A,5-Mar-21,5,3,2021,64,1550,74,71,5,26.8,SY,X,x,x,U,M,X,WS,0.0092,9.2,61.6,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
65,N,SW,2831-20133,WTSP,W060,ORG/W-L,YEL/A,5-Mar-21,5,3,2021,64,1615,70,70,3,25.3,SY,X,x,x,U,F,X,WS,0.0084,8.4,59,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
66,N,SW,2831-20134,WTSP,W061,ORG/W-L,ORG/A,5-Mar-21,5,3,2021,64,1650,73,75,5,30.2,SY,X,x,x,U,M,X,TS,0.0094,9.4,61.9,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
67,N,SW,2831-20135,WTSP,W062,ORG/W-L,DKB/A,5-Mar-21,5,3,2021,64,1650,73,73,4,27.3,SY,X,x,x,U,M,X,WS,0.0094,9.4,62.3,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
68,N,SW,2831-20136,WTSP,W063,ORG/W-L,GRN/A,5-Mar-21,5,3,2021,64,1650,68,68,4,30,SY,X,x,x,U,F,X,WS,0.0084,8.4,57.2,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
69,R,SW,2831-20117,WTSP,W047,W-L/RED,RED/A,6-Mar-21,6,3,2021,65,1400,74,75,3,28.1,SY,X,x,x,U,M,X,WS,0.0107,10.7,63.7,EASTERN,Y,Y,Y,Y,2,B,X,36.51812,-87.31848,Montgomery,TN,
70,N,SW,2831-20137,WTSP,W064,ORG/W-L,WHT/A,6-Mar-21,6,3,2021,65,910,73,73,2,26.5,SY,X,x,x,U,M,X,WS,0.0095,9.5,61.7,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
71,N,SW,2831-20138,WTSP,W065,ORG/W-L,B-R/A,6-Mar-21,6,3,2021,65,1420,74,74,1,27.9,SY,X,x,x,U,M,X,WS,0.0094,9.4,63.7,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
72,N,SW,2831-20140,WTSP,W066,W-L/WHT,RED/A,6-Mar-21,6,3,2021,65,1600,74,76,3,26.8,SY,X,x,x,U,M,X,TS,0.0098,9.8,63.8,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
73,N,SW,2831-20141,WTSP,W067,W-L/WHT,ORG/A,7-Mar-21,7,3,2021,66,900,72,70,3,26.3,SY,X,dull,x,U,F,X,TS,0.0083,8.3,60.5,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
74,N,SW,2831-20143,WTSP,W068,W-L/WHT,YEL/A,7-Mar-21,7,3,2021,66,1050,71,75,3,26,SY,X,dull,x,U,F,X,TS,0.0077,7.7,59,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
75,R,SW,2831-20141,WTSP,W067,W-L/WHT,ORG/A,20-Mar-21,20,3,2021,79,730,,x,x,x,x,X,x,x,x,F,X,TS,NA,NA,,EASTERN,N,N,N,N,NA,NA,X,36.51812,-87.31848,Montgomery,TN,Rp4 half-grown
76,N,SW,2831-20144,WTSP,W069,DKB/A,WL/WHT,20-Mar-21,20,3,2021,79,740,70,71,0,24.9,SY,X,medium,x,U,F,X,TS,0.0086,8.6,60.8,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,head molt
77,N,SW,2831-20145,WTSP,W070,WL/WHT,GRN/A,20-Mar-21,20,3,2021,79,740,73,71,0,26.6,SY,X,rich,x,U,M,X,WS,0.0096,9.6,64.2,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,WS; head molt
78,N,SW,2831-20146,WTSP,W071,WL/WHT,DKB/A,20-Mar-21,20,3,2021,79,810,74,73,1,27.2,SY,X,dull,x,U,M,X,WS,0.0095,9.5,63.8,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,head molt
79,N,SW,2831-20147,WTSP,W072,WL/WHT,WHT/A,20-Mar-21,20,3,2021,79,840,73,75,0,26.2,SY,X,dull,x,U,M,X,WS,0.0095,9.5,64.1,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,head molt
80,R,SW,2831-20068,WTSP,W017,RW/RED,B-R/A,22-Mar-21,22,3,2021,81,940,71,70,2,26.4,SY,X,dull,x,U,F,X,TS,0.0091,9.1,60.1,EMERALD,Y,N,?,Y,2,B,X,36.53908,-87.36114,Montgomery,TN,
81,N,SW,2831-20150,WTSP,W073,RED/A,R-W/YEL,22-Mar-21,22,3,2021,81,920,73,74,2,27.4,ASY,X,medium,x,U,M,X,TS,0.0102,10.2,62.8,EMERALD,Y,Y,Y,Y,1,B,X,36.53908,-87.36114,Montgomery,TN,
82,N,SW,2831-20151,WTSP,W074,YEL/A,R-W/YEL,22-Mar-21,22,3,2021,81,950,78,78,0,27.8,ASY,X,rich,x,M,M,X,WS,0.0107,10.7,66,EMERALD,Y,Y,Y,Y,1,B,X,36.53908,-87.36114,Montgomery,TN,
83,N,SW,2831-20152,WTSP,W075,ORG/A,R-W/YEL,22-Mar-21,22,3,2021,81,1000,73,72,2,24.2,SY,X,medium,x,U,M,X,WS,0.0098,9.8,63.8,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
84,N,SW,2831-20153,WTSP,W076,DKB/A,R-W/YEL,22-Mar-21,22,3,2021,81,1010,73,75,1,27.4,SY,X,medium,x,U,M,X,TS,0.0103,10.3,62.4,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
85,N,SW,2831-20154,WTSP,W077,GRN/A,R-W/YEL,22-Mar-21,22,3,2021,81,1020,74,72,2,25.8,SY,X,dull,x,U,M,X,TS,0.0097,9.7,62.3,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
86,R,SW,2831-20099,WTSP,W032,YEL/R-W,ORG/A,24-Mar-21,24,3,2021,83,1030,74,74,0,24.6,SY,X,dull,x,U,M,X,WS,0.0102,10.2,62.2,EMERALD,Y,N,Y,Y,2,B,X,36.53908,-87.36114,Montgomery,TN,
87,N,SW,2831-20156,WTSP,W078,WHT/YEL,R-W/A,24-Mar-21,24,3,2021,83,845,74,74,0,29.2,SY,X,medium,x,U,M,X,TS,0.0098,9.8,63.1,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
88,N,SW,2831-20157,WTSP,W079,WHT/A,R-W/YEL,24-Mar-21,24,3,2021,83,900,72,73,0,28.7,SY,X,medium,x,U,M,X,WS,0.0107,10.7,62.9,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
89,N,SW,2831-20158,WTSP,W080,RED/A,R-W/RED,24-Mar-21,24,3,2021,83,950,71,73,2,25.4,SY,X,dull,x,U,F,X,WS,0.0086,8.6,58.3,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
90,N,SW,2831-20159,WTSP,W081,YEL/A,R-W/RED,24-Mar-21,24,3,2021,83,1020,74,74,1,27.2,SY,X,dull,x,U,M,X,TS,0.0104,10.4,63.7,EMERALD,Y,Y,Y,Y,0,J,X,36.53908,-87.36114,Montgomery,TN,
91,R,SW,2831-20107,WTSP,W039,YEL/B-W,ORG/A,28-Mar-21,28,3,2021,87,1100,70,73,1,24,SY,X,medium,x,U,F,X,TS,0.0084,8.4,58.8,EASTERN,Y,N,Y,Y,2,B,X,36.51812,-87.31848,Montgomery,TN,TS; head molt
92,R,SW,2831-20110,WTSP,W042,R-W/DKB,DKB/A,28-Mar-21,28,3,2021,87,930,74,70,1,25.9,SY,X,medium,x,U,M,X,WS,0.0097,9.7,61.3,EASTERN,Y,N,Y,Y,2,B,X,36.51812,-87.31848,Montgomery,TN,
93,R,SW,2831-20117,WTSP,W047,W-L/RED,RED/A,28-Mar-21,28,3,2021,87,1100,72,74,1,27.5,SY,X,medium,x,U,M,X,WS,NA,NA,,EASTERN,Y,N,Y,N,NA,NA,X,36.51812,-87.31848,Montgomery,TN,head molt
94,R,SW,2831-20122,WTSP,W052,W-L/RED,B-R/A,28-Mar-21,28,3,2021,87,930,72,71,1,26.3,SY,X,dull,x,U,F,X,WS,0.0093,9.3,60.2,EASTERN,Y,N,Y,Y,2,B,X,36.51812,-87.31848,Montgomery,TN,
95,N,SW,2831-20160,WTSP,W082,ORG/A,R-W/RED,28-Mar-21,28,3,2021,87,930,69,72,2,224.3,SY,X,dull,x,U,F,X,WS,0.0086,8.6,58.4,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
96,N,SW,2831-20161,WTSP,W083,DKB/A,R-W/RED,28-Mar-21,28,3,2021,87,930,69,70,2,24,SY,X,dull,x,U,F,X,TS,0.008,8,58,EASTERN,Y,Y,Y,Y,0,J,X,36.51812,-87.31848,Montgomery,TN,
